event_id,period_no,occ_date_id
20529,198,7210308
20533,198,8051350
20547,198,9090451
20558,198,10052302
20560,198,10120122
20592,199,3111730
20623,199,5211605
20628,199,6141644
20643,199,7210553
20644,199,7250148
20669,199,10310623
20722,200,4102353
20728,200,5312020
20742,200,7070718
20756,200,8210425
20769,200,10031832
20782,200,11220507
20792,200,12230711
20801,201,1271957
20811,201,3020401
20829,201,4090424
20833,201,5070612
20853,201,7281016
20903,201,12150025
20912,201,12280223
20926,202,2071502
20945,202,3191628
20970,202,6070200
20979,202,7091938
21015,202,12010805
21023,202,12240144
21036,203,1282317
21061,203,6041554
21063,203,6061814
21088,203,9051558
21100,203,11101809
21104,203,12121832
21105,203,12171835
21113,204,1060530
21148,204,4232325
21157,204,5171701
21159,204,5181056
21165,204,6051730
21208,204,11250649
21229,205,1281528
21231,205,2011830
21249,205,3222332
21252,205,4090609
21259,205,4270627
21279,205,6041123
21300,205,8240901
21303,205,9021809
21310,205,9260035
21335,205,12111025
21337,205,12160841
21384,206,6261356
21389,206,8072055
21394,206,8220816
21410,206,10090141
21422,206,11142346
21439,207,2110015
21455,207,3271643
21467,207,5181712
21473,207,6091155
21476,207,6152245
21481,207,6291233
21492,207,8021815
21494,207,8101345
21505,207,9140024
21506,207,9190709
21511,207,10021227
21515,207,10122108
21551,208,2011759
21561,208,3090935
21563,208,3161454
21596,208,8140927
21612,208,9291209
21614,208,10030050
21630,208,11211201
21641,208,12151040
21646,208,12310044
21675,209,4202015
21687,209,5200817
21691,209,5270417
21692,209,5290930
21693,209,5301620
21704,209,7092024
21717,209,9180849
21725,209,10171453
21726,209,10171008
21731,209,11180606
21752,210,2021254
21778,210,4140759
21795,210,6102205
21798,210,6190636
21806,210,7240613
21813,210,8080515
21825,210,9210544
21845,210,11241309
21862,211,1090312
21871,211,2161140
21911,211,6302332
21930,211,9150335
21941,211,10232234
21955,211,11290620
21977,212,2220825
21982,212,3262215
22021,212,8031805
22023,212,8100417
22050,212,11291915
22100,213,5300232
22102,213,6071148
22106,213,6182106
22138,213,9222352
22146,213,10192113
22154,213,11242320
22163,214,1041919
22169,214,1200734
22187,214,3280148
22196,214,4231516
22235,214,9181033
22267,214,12282026
22269,215,1070941
22289,215,3041635
22306,215,5130613
22310,215,5222333
22313,215,6061449
22336,215,8032047
22362,215,10170831
22380,215,12270634
22395,216,2220713
22404,216,3191210
22416,216,5091909
22427,216,6071310
22442,216,7242026
22447,216,7312243
22465,216,10051401
22479,216,11070051
22488,216,12032241
22515,217,2202341
22524,217,4052359
22533,217,5010338
22570,217,10021223
22575,217,10192302
22605,218,2041749
22607,218,2121810
22643,218,6091623
22648,218,7090546
22665,218,8201817
22675,218,9280936
22684,218,11090323
22710,219,1160559
22733,219,3140508
22741,219,4191115
22749,219,5240216
22752,219,5260730
22760,219,6190130
22766,219,7061044
22796,219,10181844
22813,219,12090228
22816,219,12150423
22834,220,2111912
22836,220,2241615
22884,220,8310704
22897,220,9292007
22908,220,10161620
22929,221,1061329
22942,221,3060832
22965,221,5271403
22971,221,6200504
22985,221,8052201
22993,221,9191755
23042,222,2060356
23066,222,4170605
23074,222,5140346
23077,222,5300752
23081,222,6220022
23121,222,11181538
23125,222,12021725
23129,222,12152247
23138,223,1171847
23142,223,2101006
